Image Name/Number,Author,License
Image 1,luisballester,Photo 1 - Author: luisballester (CC BY-NC 4.0)
Image 2,andydonegan,Photo 2 - Author: andydonegan (CC BY-NC 4.0)
Image 3,luisballester,Photo 3 - Author: luisballester (CC BY-NC 4.0)
Image 4,nschwab,Photo 4 - Author: nschwab (CC BY-NC 4.0)
