Image Name/Number,Author,License
Image 1,Nina Filippova,Photo 1 - Author: Nina Filippova (CC BY-SA 4.0)
Image 2,mycowalt,Photo 2 - Author: mycowalt (CC BY-SA 4.0)
Image 3,Svencapoeira,Photo 3 - Author: Svencapoeira (CC BY-SA 4.0)
Image 4,Nina Filippova,Photo 4 - Author: Nina Filippova (CC BY-SA 4.0)
