Image Name/Number,Author,License
Image 1,Jerzy Opioła,Photo 1 - Author: Jerzy Opioła (CC BY-SA 4.0)
Image 2,Rocky Houghtby,Photo 2 - Author: Rocky Houghtby (CC BY-SA 3.0)
Image 3,vesna maric (kalipso),(CC BY-SA 3.0)
Image 4,Jerzy Opioła,Photo 4 - Author: Jerzy Opioła (CC BY-SA 4.0)
