Image Name/Number,Author,License
Image 1,Björn Sothmann,Photo 1 - Author: Björn Sothmann (CC BY-SA 4.0)
Image 2,Unknown,Unknown
Image 3,Strobilomyces,Photo 3 - Author: Strobilomyces (CC BY-SA 3.0)
Image 4,Strobilomyces,Photo 4 - Author: Strobilomyces (CC BY-SA 3.0)
