Image Name/Number,Author,License
Image 1,nikibifrost,Photo 1 - Author: nikibifrost (CC BY-SA 4.0)
Image 2,Richard Daniel (RichardDaniel),(CC BY-SA 3.0)
Image 3,Pedro Hafermann,Photo 3 - Author: Pedro Hafermann (Public Domain)
Image 4,nikibifrost,Photo 4 - Author: nikibifrost (CC BY-SA 4.0)
Image 5,nikibifrost,Photo 5 - Author: nikibifrost (CC BY-SA 4.0)
