Image Name/Number,Author,License
Image 1,A.excelsa,Photo 1 - Author: A.excelsa (CC BY 3.0)
Image 2,Björn S,Photo 2 - Author: Björn S... (CC BY-SA 2.0)
Image 3,Jerzy Opioła,Photo 3 - Author: Jerzy Opioła (CC BY-SA 3.0)
Image 4,Jerzy Opioła,Photo 4 - Author: Jerzy Opioła (CC BY-SA 3.0)
Image 5,Holger Krisp,Photo 5 - Author: Holger Krisp (CC BY 3.0)
