Image Name/Number,Author,License
Image 1,Terri Clements/Donna Fulton (pinonbistro),(CC BY-SA 3.0)
Image 2,Alan Rockefeller,Photo 2 - Author: Alan Rockefeller (CC BY-SA 4.0)
Image 3,James K. Lindsey,Photo 3 - Author: James K. Lindsey (CC BY-SA 2.5)
Image 4,leschampignons,Photo 4 - Author: leschampignons (CC BY-SA 3.0)
Image 5,James K. Lindsey,Photo 5 - Author: James K. Lindsey (CC BY-SA 2.5)
